"","Accession","Seed color","Tipburn","Height (cm)","Bolting time (days)","Leaf color","Leaf shape","Leaf margin","Leaf wrinkle","Leaf thickness","Twisted vein","Leaf blister","Degree of heading","Damaged leaf"
"1",1,"light brown","normal","140","80","light green","orbicular","entire","slight wrinkle","thin","Yes","smooth","closed heading","Yes"
"2",2,"black","slight tipburn","110","49","light green","orbicular","entire","slight wrinkle","normal","Yes","smooth","closed heading","Yes"
"3",3,"black","normal","115","75","light green","orbicular","entire","slight wrinkle","normal","Yes","smooth","closed heading","Yes"
"4",4,"light brown","normal","120","69","light green","orbicular","entire","smooth","thick","Yes","smooth","closed heading","Yes"
"5",5,"black","normal","120","75","light green","orbicular","entire","smooth","normal","Yes","smooth","closed heading","Yes"
"6",6,"light brown","normal","130","71","light green","orbicular","entire","smooth","normal","Yes","smooth","closed heading","Yes"
"7",7,"black","tipburn","115","63","light green","orbicular","entire","smooth","normal","Yes","smooth","closed heading","Yes"
"8",8,"light brown","normal","105","63","light green","ovate","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"9",9,"black","slight tipburn","85","68","green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"10",10,"light brown","tipburn","100","49","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"11",11,"light brown","tipburn","100","49","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"12",12,"dark brown","normal","110","79","light green","orbicular","entire","slight wrinkle","thin","Yes","smooth","closed heading","Yes"
"13",13,"light brown","slight tipburn","130","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"14",14,"white","tipburn","120","64","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"15",15,"light brown","tipburn","90","68","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"16",16,"light brown","slight tipburn","120","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"17",17,"light brown","slight tipburn","110","69","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
